name,pos,team,espn_adp,ecr,injury_risk,rush_att,rush_yds,rush_tds,targets,rec,rec_yds,rec_tds,pass_yds,pass_tds,pass_int,fumbles,notes,player_id,base_points,espn_pos_rank
Pittsburgh Steelers,DST,PIT,177.0,167.0,Low,0,0,0,0,0,0,0,0,0,0,0,T.J. Watt sack and turnover generator.,176,,
Miami Dolphins,DST,MIA,181.0,168.0,Low,0,0,0,0,0,0,0,0,0,0,0,Playmakers on all three levels.,177,,
Houston Texans,DST,HOU,184.0,169.0,Low,0,0,0,0,0,0,0,0,0,0,0,DeMeco Ryans defense with Will Anderson & Danielle Hunter.,178,,
Cameron Dicker,K,LAC,179.0,170.0,Questionable,0,0,0,0,0,0,0,0,0,0,0,Dicker the Kicker; top-3 field goal percentage in NFL.,179,,
Tyler Bass,K,BUF,183.0,171.0,Low,0,0,0,0,0,0,0,0,0,0,0,High scoring Bills offense provides steady opportunities.,180,,
Evan McPherson,K,CIN,186.0,172.0,Low,0,0,0,0,0,0,0,0,0,0,0,Big leg kicker in explosive Bengals offense.,181,,
Jason Sanders,K,MIA,189.0,173.0,Low,0,0,0,0,0,0,0,0,0,0,0,High-scoring Miami offense produces ample scoring.,182,,
Younghoe Koo,K,ATL,192.0,174.0,Low,0,0,0,0,0,0,0,0,0,0,0,Dome kicker with Cousins moving the offense inside the 30.,183,,
Daniel Jones,QB,NYG,180.0,175.0,Medium,65,360,2,0,0,0,0,3100,16,12,1,"Starting job on line, rushing baseline with Nabers.",184,,
Bryce Young,QB,CAR,185.0,178.0,Low,40,210,1,0,0,0,0,3350,18,12,1,Dave Canales QB whisperer effect.,185,,
Drake Maye,QB,NE,195.0,185.0,Low,50,260,2,0,0,0,0,2900,15,12,1,Rookie with Josh Allen athletic profile.,186,,
Sam Darnold,QB,MIN,190.0,188.0,Low,30,120,1,0,0,0,0,3600,22,13,1,Kevin O'Connell scheme with Jefferson & Addison.,187,,
Russell Wilson,QB,PIT,182.0,182.0,Low,35,150,1,0,0,0,0,3100,19,9,1,"Arthur Smith run-heavy scheme, competing with Fields.",188,,
Justin Fields,QB,PIT,175.0,170.0,Low,70,420,4,0,0,0,0,1800,11,7,1,Package plays / potential starter with elite rushing ceiling.,189,,
Alexander Mattison,RB,LV,187.0,179.0,Low,110,430,2,25,20,140,1,0,0,0,1,Backup to Zamir White in Las Vegas.,190,,
Ty Chandler,RB,MIN,161.0,150.0,IR,120,530,3,30,24,180,1,0,0,0,1,On Injured Reserve (IR),191,,
Miles Sanders,RB,CAR,198.0,189.0,Low,90,360,2,25,18,130,0,0,0,0,1,Veteran reserve behind Chuba Hubbard and Brooks.,192,,
Kenneth Gainwell,RB,PHI,205.0,195.0,Low,70,310,2,30,24,170,0,0,0,0,1,Two-minute drill pass protector behind Barkley.,193,,
Roschon Johnson,RB,CHI,188.0,181.0,Low,90,390,3,25,20,150,1,0,0,0,1,Short-yardage thumper in Chicago backfield.,194,,
Justice Hill,RB,BAL,202.0,192.0,Low,60,280,1,35,28,210,1,0,0,0,1,Ravens primary 3rd down passing back.,195,,
Samaje Perine,RB,KC,196.0,186.0,Low,60,260,1,35,30,220,1,0,0,0,1,Signed by Chiefs for crucial 3rd-down pass protection with Mahomes.,196,,
Elijah Mitchell,RB,SF,215.0,200.0,High,70,320,2,10,8,50,0,0,0,0,1,Injury prone backup to McCaffrey.,197,,
Jordan Mason,RB,SF,193.0,165.0,Low,110,520,4,15,10,80,0,0,0,0,1,DIRECT MCCAFFREY HANDCUFF. Shined all preseason; RB1 if CMC rests.,198,,
Keaontay Ingram,RB,KC,220.0,210.0,Low,40,160,1,10,8,50,0,0,0,0,1,Depth runner for Chiefs.,199,,
Audric Estime,RB,DEN,204.0,194.0,Low,70,310,3,10,8,50,0,0,0,0,1,Sean Payton goal-line bruiser.,200,,
Isaac Guerendo,RB,SF,218.0,205.0,Low,50,240,2,10,8,60,0,0,0,0,1,4.33 speed rookie runner in Shanahan system.,201,,
Tyrone Tracy Jr.,RB,NYG,194.0,176.0,Questionable,80,350,2,30,24,190,1,0,0,0,1,Converted college WR with explosive PPR passing profile behind Singletary.,202,,
Cam Akers,RB,HOU,212.0,202.0,Medium,70,290,2,15,12,80,0,0,0,0,1,Depth behind Mixon and Pierce.,203,,
D'Onta Foreman,RB,CLE,208.0,199.0,Low,80,340,3,10,8,50,0,0,0,0,1,Veteran bruiser for early downs while Chubb is out.,204,,
Tank Bigsby,RB,JAX,200.0,190.0,Low,75,320,2,10,8,50,0,0,0,0,1,Improved sophomore season behind Etienne.,205,,
Gabe Davis,WR,JAX,152.0,148.0,Low,0,0,0,75,42,680,5,0,0,0,0,Deep post specialist in Doug Pederson offense.,206,,
Kendrick Bourne,WR,NE,201.0,196.0,Medium,0,0,0,70,48,550,3,0,0,0,0,Starting on PUP; veteran target for Patriots.,207,,
Jalen Tolbert,WR,DAL,191.0,184.0,Low,0,0,0,70,45,580,4,0,0,0,0,Won starting WR3 job in Dallas high-pass offense.,208,,
Andrei Iosivas,WR,CIN,183.0,172.0,Low,0,0,0,65,45,540,5,0,0,0,0,Takes over Tyler Boyd starting slot role in Burrow offense.,209,,
Tre Tucker,WR,LV,207.0,201.0,Low,0,0,0,55,35,480,2,0,0,0,0,Field stretcher opposite Adams and Meyers.,210,,
Michael Wilson,WR,ARI,174.0,168.0,Low,0,0,0,75,48,620,4,0,0,0,0,Boundary contested catch receiver outside Harrison Jr.,211,,
Darius Slayton,WR,NYG,197.0,191.0,Low,0,0,0,65,40,610,3,0,0,0,0,Deep vertical route runner in NY.,212,,
Quentin Johnston,WR,LAC,189.0,187.0,Low,0,0,0,70,42,540,3,0,0,0,0,Former 1st round pick looking for bounce-back.,213,,
Greg Dortch,WR,ARI,186.0,177.0,Low,0,0,0,75,55,520,2,0,0,0,0,Full PPR slot favorite for Kyler Murray.,214,,
Jermaine Burton,WR,CIN,192.0,180.0,Low,0,0,0,55,34,510,4,0,0,0,0,Dynamic rookie deep threat with Joe Burrow.,215,,
Malachi Corley,WR,NYJ,203.0,197.0,Low,0,0,0,55,38,420,2,0,0,0,0,YAC King rookie slot receiver for Rodgers.,216,,
Devontez Walker,WR,BAL,217.0,209.0,Questionable,0,0,0,45,25,380,2,0,0,0,0,Deep vertical speed for Ravens.,217,,
Ricky Pearsall,WR,SF,162.0,163.0,Medium,0,0,0,55,36,450,2,0,0,0,0,Rookie 1st rounder; stash for late-season Shanahan role.,218,,
Jalen McMillan,WR,TB,199.0,183.0,Questionable,0,0,0,60,40,520,3,0,0,0,0,Q - Dealing with Soreness. Active status monitored.,219,,
Luke McCaffrey,WR,WAS,209.0,198.0,Low,0,0,0,60,42,480,2,0,0,0,0,Jahan Dotson trade opens up immediate slot reps.,220,,
Roman Wilson,WR,PIT,214.0,206.0,Low,0,0,0,50,32,420,2,0,0,0,0,Rookie slot receiver in Pittsburgh.,221,,
Noah Fant,TE,SEA,181.0,174.0,Low,0,0,0,65,46,510,3,0,0,0,0,Parkinson/Dissly gone; full-time TE in Grubb pass offense.,222,,
Juwan Johnson,TE,NO,184.0,181.0,Low,0,0,0,60,42,450,4,0,0,0,0,Athletic red zone favorite for Carr.,223,,
Colby Parkinson,TE,LAR,206.0,193.0,Low,0,0,0,55,38,420,3,0,0,0,0,Tyler Higbee starting on PUP; Parkinson starts in McVay offense.,224,,
Zach Ertz,TE,WAS,210.0,203.0,Low,0,0,0,55,38,380,3,0,0,0,0,Veteran security blanket for Jayden Daniels.,225,,
Greg Dulcich,TE,DEN,211.0,204.0,Medium,0,0,0,55,36,410,3,0,0,0,0,Joker TE in Sean Payton offense.,226,,
Theo Johnson,TE,NYG,219.0,208.0,Questionable,0,0,0,50,32,360,2,0,0,0,0,Darren Waller retired; freak 9.99 RAS rookie.,227,,
Philadelphia Eagles,DST,PHI,195.0,190.0,Low,0,0,0,0,0,0,0,0,0,0,0,Vic Fangio defense with revamped secondary.,228,,
Denver Broncos,DST,DEN,205.0,200.0,Low,0,0,0,0,0,0,0,0,0,0,0,Patrick Surtain lockdown pass defense.,229,,
Chicago Bears,DST,CHI,210.0,202.0,Low,0,0,0,0,0,0,0,0,0,0,0,Montez Sweat turnover-forcing defense.,230,,
Green Bay Packers,DST,GB,213.0,205.0,Low,0,0,0,0,0,0,0,0,0,0,0,Jeff Hafley aggressive attacking scheme.,231,,
Indianapolis Colts,DST,IND,216.0,207.0,Low,0,0,0,0,0,0,0,0,0,0,0,Strong front four with DeForest Buckner & Latu.,232,,
Cairo Santos,K,CHI,200.0,195.0,Low,0,0,0,0,0,0,0,0,0,0,0,Reliable kicker in upgraded offense.,233,,
Chase McLaughlin,K,TB,204.0,198.0,Low,0,0,0,0,0,0,0,0,0,0,0,Huge leg; 7-of-8 from 50+ yards.,234,,
Dustin Hopkins,K,CLE,208.0,201.0,Low,0,0,0,0,0,0,0,0,0,0,0,Elite 50+ yard weapon in Cleveland.,235,,
Matt Gay,K,IND,212.0,203.0,Low,0,0,0,0,0,0,0,0,0,0,0,Steichen offense drives deep into opponent territory.,236,,
Blake Grupe,K,NO,215.0,206.0,Low,0,0,0,0,0,0,0,0,0,0,0,Indoor kicker with high attempt volume.,237,,
Omarion Hampton,RB,FA,13.0,13.0,Low,230,1050,10,35,26,220,1,0,0,0,1,UNC powerhouse rookie RB drafted at #13 overall.,238,219.0,
Ashton Jeanty,RB,LV,26.0,25.0,Questionable,240,1150,11,45,35,280,2,0,0,0,2,Q - Dealing with Sprain. Active status monitored.,239,200.0,
Jeremiyah Love,RB,ARI,34.0,35.0,Questionable,190,900,7,40,30,240,1,0,0,0,1,Q - Dealing with Sprain. Active status monitored.,240,200.0,
Quinshon Judkins,RB,CLE,38.0,40.0,Low,210,980,9,30,22,160,1,0,0,0,2,Powerhouse runner from Ohio State / Ole Miss.,241,200.0,
Tetairoa McMillan,WR,CAR,39.0,38.0,Low,0,0,0,120,78,1050,7,0,0,0,1,6'5 physical alpha WR from Arizona.,242,200.0,
Luther Burden III,WR,NE,45.0,42.0,Questionable,10,80,1,115,80,1020,6,0,0,0,1,"Missouri YAC monster, Deebo-like archetype.",243,200.0,
Travis Hunter,WR,JAX,50.0,45.0,Low,5,30,0,110,75,980,7,0,0,0,1,Two-way generational phenom from Colorado.,244,200.0,
Emeka Egbuka,WR,TB,60.0,55.0,Questionable,5,30,0,95,68,850,5,0,0,0,1,Q - Dealing with Sprain. Active status monitored.,245,200.0,
TreVeyon Henderson,RB,DAL,55.0,52.0,OUT,170,820,7,45,36,300,2,0,0,0,2,OUT (ESPN official report),246,200.0,
Ollie Gordon II,RB,DEN,65.0,60.0,Questionable,190,880,8,30,22,170,1,0,0,0,2,Doak Walker winner workhorse back from Oklahoma State.,247,200.0,
Colston Loveland,TE,CHI,75.0,70.0,Low,0,0,0,85,60,720,5,0,0,0,1,Michigan top TE prospect; elite separation.,248,200.0,
Cam Ward,QB,TEN,120.0,115.0,Low,50,220,2,0,0,0,0,3600,23,11,3,Miami Hurricanes playmaking QB.,249,200.0,
Shedeur Sanders,QB,LV,125.0,118.0,Low,40,120,2,0,0,0,0,3700,24,10,3,Pinpoint pocket accuracy from Colorado.,250,200.0,
Cam Skattebo,RB,ARI,50.0,48.0,Low,210,980,9,35,28,240,2,0,0,0,2,Arizona State powerhouse bowling ball RB.,251,215.0,
Tyler Warren,TE,IND,65.0,65.0,Questionable,0,0,0,75,55,620,5,0,0,0,0,Q - Dealing with Strain. Active status monitored.,252,150.0,25.0
Jadarian Price,RB,SEA,70.0,70.0,Low,160,720,6,35,25,180,1,0,0,0,1,Notre Dame explosive back drafted by Seattle in Round 5.,253,150.0,25.0
Bhayshul Tuten,RB,JAX,75.0,75.0,Questionable,150,680,5,30,20,150,1,0,0,0,1,Virginia Tech dynamic playmaker drafted by Jacksonville.,254,150.0,25.0
Jameson Williams,WR,DET,68.0,68.0,Low,5,40,0,80,52,780,5,0,0,0,1,Electric deep-threat WR for the high-powered Lions offense.,255,150.0,25.0
Jaxson Dart,QB,NYG,80.0,80.0,Low,60,350,3,0,0,0,0,3200,20,10,3,Dual-threat Ole Miss QB rookie drafted in Round 6.,256,150.0,25.0
Harold Fannin Jr.,TE,FA,74.0,74.0,Low,5,30,1,70,50,600,5,0,0,0,0,Dynamic collegiate tight end sensation drafted at pick 73.,257,145.0,30.0
Parker Washington,WR,JAX,76.0,76.0,Low,2,10,0,75,48,550,4,0,0,0,1,Jaguars slot receiver / returner drafted at pick 75.,258,145.0,30.0
Carnell Tate,WR,FA,85.0,85.0,Questionable,0,0,0,70,45,600,4,0,0,0,0,Q - Dealing with Undisclosed. Active status monitored.,259,140.0,35.0
Tucker Kraft,TE,GB,95.0,95.0,Questionable,0,0,0,65,45,480,4,0,0,0,0,Q - Dealing with Surgery. Active status monitored.,260,125.0,16.0
Josh Downs,WR,IND,105.0,105.0,Questionable,5,25,0,90,65,750,4,0,0,0,1,Colts high-volume slot receiver with strong PPR floor.,261,145.0,42.0
Kyle Monangai,RB,FA,112.0,112.0,Questionable,180,780,6,25,18,120,0,0,0,0,1,Rutgers physical bellcow collegiate RB prospect drafted at pick 112.,262,140.0,38.0
Matthew Golden,WR,FA,113.0,113.0,Low,2,15,0,70,46,580,4,0,0,0,0,Texas dynamic deep-threat collegiate WR drafted at pick 113.,263,135.0,44.0
Jacory Croskey-Merritt,RB,FA,115.0,115.0,Questionable,150,680,6,25,18,130,1,0,0,0,1,Arizona/UNM high-efficiency collegiate touchdown maker drafted at pick 115.,264,135.0,40.0
Jason Myers,K,SEA,120.0,120.0,Low,0,0,0,0,0,0,0,0,0,0,0,Seahawks reliable veteran kicker drafted at pick 120.,265,122.0,15.0
Los Angeles Rams,DST,LAR,122.0,122.0,Low,0,0,0,0,0,0,0,0,0,0,0,Rams defense drafted at pick 122.,266,110.0,12.0
Jordan Addison,WR,MIN,124.0,124.0,Low,2,10,0,85,60,800,6,0,0,0,1,Vikings explosive #2 WR drafted at pick 124.,267,155.0,40.0
